user,text,date,emotion,sentiment,LLM,ML
@Camino_OpusDei,172. Si no eres mortificado nunca serás alma de #oración. #Camino #OpusDei   Happy New Year / Feliz Año,"Dec 31, 2023 · 7:47 AM UTC",embarrassed,scared,NEUTRO,NEGATIVO
@Biancaoros20,Me párese re injusto que cuando las mujeres opinemos algo xq nos molesta ya se enojan y ya nos tratan mal 🤷😂 Solo fue un comentario y si te molesto xq será verdad ? 🤷😂😂,"Jan 6, 2024 · 3:36 AM UTC",frustrated,mad,NEGATIVO,NEGATIVO
@Daniela_169_,Ojalá un año tan próspero y abundante que me permita compartir con otros🙏🏻,"Jan 6, 2024 · 1:15 AM UTC",successful,powerful,POSITIVO,POSITIVO
@Cecimoreeno,"Ando en mi romantic era ❤️‍🔥 Alv el dolor, bienvenido el amor desbordante","Jan 5, 2024 · 7:11 PM UTC",overwhelmed,scared,NEUTRO,NEGATIVO
@ddsillygirl,me acabo d acordar de cuando Lou Magaña me dijo q tengo un problema con los hombres y que tengo que aprender a confiar en ellos LOL (tiene razón),"Jan 6, 2024 · 3:37 AM UTC",loving,peaceful,NEGATIVO,NEUTRO
@AbelinaLopezR,"Con profundo dolor y tristeza recibimos este día la noticia del fallecimiento en un accidente automovilístico de tres Servidores de la Nación que colaboraban con el apoyo a la reconstrucción de Acapulco.    Nuestra eterna gratitud y nuestro profundo reconocimiento para ellos, hasta el cielo.   A sus familiares, amigos y compañeros, las más sentidas condolencias a nombre del pueblo acapulqueño. Toda su labor será siempre reconocida en esta ciudad, que hoy eleva una oración en su nombre. 🙏🏾","Jan 6, 2024 · 2:33 AM UTC",thankful,peaceful,NEGATIVO,NEUTRO
@valebaneadita,Hasta que yo no vea a Liana con ese trapo sigo con la incredulidad  Pero Dios mío me está dando algo,"Jan 4, 2024 · 7:28 PM UTC",surprised,powerful,NEGATIVO,POSITIVO
@gguklvly,no me gusta andar tan sensible🙄🙄,"Jan 6, 2024 · 3:41 AM UTC",responsive,peaceful,NEGATIVO,NEUTRO
@SilvaSanFelipe,Hay que reactivar las cooperativas de seguridad y convivencia ciudadana (CONVIVIR) para hacerle frente a la delincuencia y terrorismo resguardado por @petrogustavo.,"Jan 5, 2024 · 7:16 PM UTC",secure,peaceful,NEGATIVO,NEUTRO
@Soymariancas,"La soledad es peligrosa. Es muy adictiva. Se convierte en un hábito cuando te das cuenta de lo tranquila y apacible que es. Es como si ya no quisieras tratar con las personas porque te agotan la energía.""  -Jim Carrey","Jan 4, 2024 · 10:57 AM UTC",relaxed,peaceful,NEGATIVO,NEUTRO
@amilcarivan,"#Viernes  La Luna entra en Escorpio. Utiliza la energía transformadora de la Luna de Escorpio para abrazar la introspección, purgar la negatividad, sumergirte en el trabajo interior, practicar la empatía. Las emociones pueden intensificarse. Se proactivo, no reactivo.","Jan 5, 2024 · 3:13 PM UTC",responsive,peaceful,POSITIVO,POSITIVO
@jinprogeimer,la gorda de ami dejó pausado el rave 🙄😒,"Jan 5, 2024 · 6:25 AM UTC",relaxed,peaceful,NEGATIVO,NEUTRO
@DavidSosaHND,"Nos volvemos tan egoísta que vemos como somos bendecidos y aún así nos sigue faltado más, el agradecimiento parte de sentirte también pleno en consonancia con la vida y tratar de ser feliz con los que se nos es otorgado!!","Jan 6, 2024 · 2:39 AM UTC",thankful,peaceful,NEUTRO,NEUTRO
@kthvan_,¿por qué mierda soy tan celoso?,"Jan 6, 2024 · 3:36 AM UTC",jealous,mad,NEGATIVO,NEGATIVO
@Richard_p0k5,Un festival de poesía en las montañas saca a relucir el chispeante talento de los niños de la zona,"Dec 27, 2023 · 7:26 PM UTC",playful,joyful,POSITIVO,POSITIVO
@Angelitooooooo_,yo a uds les tengo aprecio,"Jan 6, 2024 · 3:32 AM UTC",thankful,peaceful,POSITIVO,NEUTRO
@jhopeblueside_,me re preocupa leer el temita de MM y Villaruel porque ya nada se queda en una teoría conspirativa en este país abandonado por Dios,"Jan 6, 2024 · 2:49 AM UTC",isolated,sad,NEGATIVO,NEGATIVO
@saidbobadilla,"Me han sorprendido, no esperaba esta victoria","Jan 6, 2024 · 2:50 AM UTC",surprised,powerful,POSITIVO,POSITIVO
@Del_a_dos,Que costara poner metro toda la Noche cada 30 mins un Viernes Noche vispera de festivo?,"Jan 6, 2024 · 12:43 AM UTC",playful,joyful,NEGATIVO,POSITIVO
@norlex1508,"Partido espeso, típico de la vuelta de los polvorones.  3 ptos, campeones de invierno y el sábado, Copa.  Muy flojos Modric y Fran  Rodry y Vini, con ganas y sin acierto.  Bellingham algo fatigado, Kroos y Fede, ni bien ni mal  Rudiger, soberbio y Tchou, cumplidor junto con Carva","Jan 3, 2024 · 8:13 PM UTC",sleepy,sad,NEGATIVO,NEGATIVO
@AroaL6,Lo malo de ver la película de Simbad es recordar que Sari Soñador de Mares es un libro que existe,"Jan 6, 2024 · 12:21 AM UTC",sleepy,sad,NEGATIVO,NEGATIVO
@TomasMoretti3,Desconfío mucho de la gente que entrena mucho. Llena un vacío  Firma: un gordo resentido,"Jan 6, 2024 · 2:30 AM UTC",jealous,mad,NEGATIVO,NEGATIVO
@U_H_Cto,"""Todo triunfador, fue un fracasado que nunca se dió por vencido""  🖤🔱 -Churchil-","Jan 4, 2024 · 6:15 AM UTC",successful,powerful,NEUTRO,POSITIVO
@AchillesNoTAgil,Picante picante picaaaanteeeee,"Jan 5, 2024 · 10:03 PM UTC",responsive,peaceful,NEUTRO,NEGATIVO
@AfelioP,"El Ayuntamiento de Madrid reprueba a Ortega Smith por su agresión a Rubiño con los votos de la izquierda y del PP. El concejal de Vox, visiblemente contrariado con el alcalde, acusó al edil de Más Madrid de protagonizar “la única agresión” y luego se marchó de Cibeles sin esperar al resultado del voto. Almeida llamó “cobarde” a Ortega Smith en una breve intervención. https://www.eldiario.es/1_a4fa72?utm_campaign=botonera-share&utm_medium=social&utm_source=twitter via @_somosmadrid","Jan 4, 2024 · 1:15 PM UTC",irritated,mad,NEGATIVO,NEGATIVO
@lorelatorre13,"Amo el olor a Hierba Luisa, me ha calmado bastante 🥹","Jan 6, 2024 · 3:05 AM UTC",relaxed,peaceful,POSITIVO,NEUTRO
@lezequiel12,"Dejame noms sin preocupaciones y dependencias emocional ,demasiado tranquilo ando pa tumbarme denuevo 😝","Jan 6, 2024 · 2:34 AM UTC",secure,peaceful,NEUTRO,NEGATIVO
@delffvelazq,"Ya ni lo aguanto, me parece un estúpido","Jan 6, 2024 · 3:49 AM UTC",stupid,sad,NEGATIVO,NEGATIVO
@David_delaO,🔟 problemas a afrontar en las primeras fases de desarrollo como trader: 1⃣ Distracciones mientras se espera el setup 2⃣ Autoconfianza excesiva 3⃣ Búsqueda del perfeccionismo en las estrategias 4⃣ Procrastinación en la toma de decisiones 5⃣ Análisis excesivo de las oportunidades 6⃣ Falta de generación de ideas 7⃣ Creerse el pvto amo en rachas positivas 8⃣ Mantener la disciplina alta de forma constantemente 9⃣ Elegir los productos a operar adecuados a uno 🔟 Encontrar tiempo para analizar y mejorar Déjame un comentario indicando cuál es el que más te afecta: A ver si entre todo te podemos ayudar a mejorarlo.,"Jan 4, 2024 · 5:44 PM UTC",confident,powerful,NEUTRO,POSITIVO
@gonzarasa,Estoy totalmente desconcertado hoy ☹️,"Jan 4, 2024 · 3:30 PM UTC",surprised,powerful,NEGATIVO,NEGATIVO
@abigail23062973,"Bueno, ahora Lgante conquista a Dani y Nachi con Thiagui crían a las bebas (? xD","Jan 6, 2024 · 2:07 AM UTC",successful,powerful,NEUTRO,POSITIVO
@xdinarybbl,"240106 🦆🎸💭 00:17am  Por favor recomiéndame películas para ver(tierno)  Rock The World ㅋㅋㅋ  ¡Cierto, el canal de xdiz pronto llegará al millón de suscriptores!  Increíble...  Seré un youtuber con un millón de suscriptores..","Jan 6, 2024 · 3:25 AM UTC",loving,peaceful,POSITIVO,NEUTRO
@M4r4r1A2202,"Se levanta P cejijunto, soñoliento, concentrado en distinguir realidad de sueño.  Le empiezo a vacilar: “ uy este niño que serio, madre mía qué seriote está? Por que esta tan serio este chico?”. Me responde: “ Porque soy un galán”.  Ah. Vale.","Dec 15, 2023 · 6:56 AM UTC",sleepy,sad,NEUTRO,NEGATIVO
@elm1ch4,Porqué sigo esperanzado en el amor cunado se que no es lo mio,"Jan 5, 2024 · 10:37 PM UTC",optimistic,joyful,NEGATIVO,POSITIVO
@thwvfuldcctor,"Risilla deja salir, restándole importancia a modo de ademán, despreocupado.  ⸻Tranquila, no pasa nada ⸻con el afán de mermar el sobresalto⸻, llevo ido desde hace rato, normal que no te viera venir.  No mentía. Las razones fueron las primeras mencionadas (se muere de hambre y","Jan 5, 2024 · 10:52 PM UTC",daring,joyful,NEUTRO,POSITIVO
@m0ndkind,"una pensaría que vivir en un pueblo incomunicado del norte de extremadura le haría ahorrar pero claro, resulta que aquí veranean los ricos y está todo overpriced","Jan 4, 2024 · 9:54 PM UTC",isolated,sad,NEGATIVO,NEGATIVO
@itsminabooks,"—Eres la mujer más capaz que he conocido en mi vida. No hay nada que puedas sugerir que yo no apoyaría. Estaré ahí para cogerte de la mano en todo Ror, pero no me necesitas. Nunca me has necesitado para ser increíble. Tu lo eres. Y te amo más de lo que puedo expresar en palabras.","Jan 6, 2024 · 3:36 AM UTC",confident,powerful,POSITIVO,POSITIVO
@ale_bbravo,"oye una cosa  aqui en barna ha llovido toda la tarde, eso significa que no se ha echo la cabalgata??  (curro por la tarde y estoy aislado del mundo exterior)","Jan 5, 2024 · 9:38 PM UTC",isolated,sad,NEGATIVO,NEGATIVO
@cldyqs,PQ ESTA TAN DISTANTE ME WUIEO4 MATAT,"Jan 6, 2024 · 3:27 AM UTC",distant,mad,NEGATIVO,NEGATIVO
@Abrisqueta,"Nadie va a poner a Alianza por debajo o postergado . Así con la pija al aire , simple","Jan 5, 2024 · 8:34 PM UTC",optimistic,joyful,NEGATIVO,POSITIVO
@AraFrancovich,"Hoy en el hospital, mi paciente casi se shockea por una hemorragia y me tuve q pelear con 5 personas en cuestión de media hora para actuar rápido. Mi cabeza no se explica como hay gente que en vez de colaborarte, estorba","Dec 27, 2023 · 10:18 PM UTC",responsive,peaceful,NEGATIVO,NEUTRO
@Iamcadaluna,Estoy bien,"Jan 5, 2024 · 8:20 PM UTC",playful,joyful,NEUTRO,NEGATIVO
@ArmandoaRamses,Acabo de ver Leave the world behind y me dejó perplejo! Me pareció una obra maestra con uno de los mejores finales que he visto últimamente,"Jan 5, 2024 · 8:18 PM UTC",surprised,powerful,POSITIVO,POSITIVO
@SANTOAUGURIO,— orando ya ni se que oración estoy afectado —,"Jan 6, 2024 · 12:22 AM UTC",jealous,mad,NEGATIVO,NEGATIVO
@veterirey,"Un chico que conocí hace un año, un tanto whitexican y con muchos arraigos homonormativos, se acercó a mí hoy a conversar y ha dejado ir muchas cosas: prejuicios, paradigmas, dogmas. Su sentido de justicia social y empatía me dejaron boquiabierto. Alegremente lo llamo mi amigo.","Jan 4, 2024 · 5:14 AM UTC",surprised,powerful,POSITIVO,POSITIVO
@FerrerGalvan,"El ataque con drones y la masacre en la comunidad de Buenavista en Heliodoro Castillo, Guerrero, constatan que el gobierno estatal ha perdido o cedido el control de territorios enteros, abandonando a la población a merced del terror del crimen organizado","Jan 6, 2024 · 3:52 AM UTC",overwhelmed,scared,NEGATIVO,NEGATIVO
@StrangueStev,El gato acaba de decir que Denis tiene ganas de culear Lo incomodo que esta Bautista #granhermano,"Jan 6, 2024 · 3:58 AM UTC",embarrassed,scared,NEGATIVO,NEGATIVO
@FORDH4MPIR_,"Se levantó de su silla cuando aquella mujer golpeó la ventana con las manos llenas de sangre, ¿que carajos? Estaba estupefacto en su lugar.","Jan 5, 2024 · 10:53 PM UTC",surprised,powerful,NEGATIVO,POSITIVO
@androsascending,"La cantidad de poemas malos que, entre avergonzado y expectante, me reservo.","Jan 6, 2024 · 2:19 AM UTC",embarrassed,scared,NEGATIVO,NEGATIVO
@FlorVega2601,"A veces uno se siente desconcertado,porque no entendemos nada de lo que hacemos.  El día pasa tan rápido. Y la vida también","Jan 5, 2024 · 3:17 AM UTC",embarrassed,scared,NEGATIVO,NEUTRO
@javiroquai25,Estoy indignado con lo de los Reyes. Poner a un Melchor jovenzuelo con barba postiza es edadismo. Esto tiene que acabar.,"Jan 5, 2024 · 11:02 PM UTC",irritated,mad,NEGATIVO,NEGATIVO
@6alexgv,Por otro año siendo un naco y estupido 🙌🏻,"Jan 6, 2024 · 3:39 AM UTC",stupid,sad,NEGATIVO,NEGATIVO
@user122201,"La imagen de la última vez que lo vi/interactúe con él, la aborrezco porque me hizo ver todo lo que en mucho tiempo no quise ver, tiempo tal vez no perdido pero si mal invertido","Jan 6, 2024 · 3:56 AM UTC",overwhelmed,scared,NEGATIVO,NEGATIVO
@ElManosantaCAB,Que contrato tiene Aaron Quiros?? Está blindado ? Tiene alguna cláusula ??... Xq..... Ehhhh...,"Jan 5, 2024 · 9:10 PM UTC",secure,peaceful,NEUTRO,NEUTRO
@LOALTHBREAKER,— El antídoto nos será útil durante su recuperación. Diluye la esencia de los pétalos y mézclala con un reactivo para neutralizarlo. Luego lleva la mezcla a punto de ebullición y agítala bien.,"Jan 5, 2024 · 6:06 PM UTC",responsive,peaceful,POSITIVO,NEUTRO
@kateserna12,"¿Por qué no pedí perdón? si ya me es indiferente quien se quedó con la razón. Yo te digo abiertamente que México duele cabrón, la Roma ya no se siente igual desde que tú estás con otra gente.","Jan 6, 2024 · 3:08 AM UTC",distant,mad,NEGATIVO,NEGATIVO
@AnDriuX,"¿Cómo va su 2024? El mío como enredado, pero algo se hace.","Jan 5, 2024 · 11:53 PM UTC",stupid,sad,NEUTRO,NEGATIVO
@bh_porcelli,To preocupado,"Jan 6, 2024 · 3:30 AM UTC",overwhelmed,scared,NEGATIVO,NEGATIVO
@Edybm99,Vamos a ver y con tanto inmigrante de Pedro Sánchez que ha abierto la puerta...no le pueden dar una páguita y tenemos barra libre de Baltasares en las cabalgatas y ningun niñ@ desilusionado?,"Jan 5, 2024 · 12:00 PM UTC",frustrated,mad,NEGATIVO,NEGATIVO
@Riveeraandres,estado civil:  ○casado ○soltero ◉desaprovechado,"Jan 6, 2024 · 3:33 AM UTC",isolated,sad,NEGATIVO,NEGATIVO
@libroscatolic,"«Cuanto por mí más abatido, tanto para mí más amado, dice san Bernardo».","Jan 6, 2024 · 3:15 AM UTC",overwhelmed,scared,NEUTRO,NEGATIVO
@HannibalDex,"Esas brillantes e ineditas ideas que tienen los funcionarios uribistas antioqueños en montar ""grupos de seguridad"" me han sorprendido por su originalidad. Dónde paracos he escuchado eso antes?? 🤔🤔","Jan 6, 2024 · 3:04 AM UTC",surprised,powerful,POSITIVO,POSITIVO
@G4briel_CC,Cada amparo es un reconocimiento de que tenés un curro que no querés largar. Fin.,"Jan 6, 2024 · 3:06 AM UTC",thankful,peaceful,NEGATIVO,NEUTRO
@airlin_silveraj,Definitivamente es que estar tanto tiempo soltero e intentar hablar con alguien es muy complicado,"Jan 6, 2024 · 3:42 AM UTC",isolated,sad,NEGATIVO,NEGATIVO
@aislamient0,"Ah, ojalá poder guardar el día de hoy en un lugar de mi cabeza que pueda verlo siempre y volver a sentirme igual de apacible y feliz.","Jan 6, 2024 · 2:20 AM UTC",secure,peaceful,POSITIVO,NEUTRO
@RomaM93,¿Qué tan fiable es Temu?,"Jan 5, 2024 · 10:58 PM UTC",secure,peaceful,NEUTRO,NEUTRO
@OHPRIMAVERA,"‘’     ¿Se ha perdido, @MONARCHENTITY?      ‘’  Preguntaría con el canasto colgando de su muñeca, mostrando una afable y cálida sonrisa.","Jan 6, 2024 · 1:08 AM UTC",loving,peaceful,NEUTRO,NEUTRO
@hartoperosigo,si va a llover que refresque sino que ni lluevaaaaaa,"Jan 6, 2024 · 3:52 AM UTC",frustrated,mad,NEGATIVO,NEGATIVO
@nyanbinarism,tan i dependiente i lono solitario😈😈😈,"Jan 6, 2024 · 3:10 AM UTC",distant,mad,NEGATIVO,NEGATIVO
@econokafka,"La violencia se recrudece, el demagogo minimiza o se burla.  Tres personas que buscaban candidaturas de oposición han muerto en las últimas horas. Dos de la Alianza, en Morelos y Chiapas, y uno de MC, en Colima  ¿Qué se necesita para dejar de ofrecer abrazos y ofrecer protección?","Jan 6, 2024 · 3:34 AM UTC",secure,peaceful,NEGATIVO,NEUTRO
@JorgeD1428,"Consejo que nadie pidió: Si un día te sientes abrumado, triste, enojado, ansioso… Cierra tus ojos, y piérdete en tu respiración","Jan 5, 2024 · 4:57 AM UTC",frustrated,mad,NEGATIVO,NEGATIVO
@DanniElTravieso,"Compra barato en un lugar caro, pero nunca compres caro, en un lugar barato.🙌","Jan 6, 2024 · 3:11 AM UTC",playful,joyful,NEGATIVO,POSITIVO
@spineyman_222,La vdd si extraño al torpe de mi hermano,"Jan 6, 2024 · 1:34 AM UTC",embarrassed,scared,NEGATIVO,NEGATIVO
@esteladelatorre,"Carlos Bremer, gran impulsor y apasionado del deporte mexicano.   Q.E.P.D. 🙏","Jan 6, 2024 · 2:31 AM UTC",loving,peaceful,NEGATIVO,NEUTRO
@SpencerHIGS,Me acordé que mi ex me decía exasperado que no le preguntara si nos veríamos al día siguiente porque lo presionaba y no quería verme 😭 creo q hay maneras + bonis de decir las cosass,"Jan 5, 2024 · 7:02 AM UTC",irritated,mad,NEGATIVO,NEGATIVO
@Ferno51,"Lo contrariado que uno se siente dándole ❤️ a un tweet de Alejandro Gaviria criticando la reforma a la salud... Cuando uno sabe que se creyó mucho para ser parte de la ""explosión controlada"".","Jan 3, 2024 · 6:01 PM UTC",irritated,mad,NEGATIVO,NEGATIVO
@RedGrayson777,El dia mas caloroso del año en cali siempre es el 1ero de Enero ahss,"Jan 1, 2024 · 6:27 PM UTC",loving,peaceful,NEUTRO,NEUTRO
@juliosvnchez,disfrutando hasta el silencio incomodo,"Jan 6, 2024 · 3:51 AM UTC",embarrassed,scared,NEUTRO,NEGATIVO
@tatadiaz1201,Yo creo que mi círculo cercano está más mortificado por lo que me pasa que yo JAJAJAJAJAJA,"Jan 5, 2024 · 2:15 AM UTC",embarrassed,scared,NEGATIVO,NEGATIVO
@jairoamaya96,"Dios es bueno, bondadoso y eterno. 🙏🏽","Jan 5, 2024 · 8:04 PM UTC",loving,peaceful,POSITIVO,NEUTRO
@risabeloc,Lo impotente que me siento ahorita,"Jan 6, 2024 · 1:12 AM UTC",frustrated,mad,NEGATIVO,NEGATIVO
@chesspiecet,"Si viviera en un bucle en donde solo pudiera repetir el mismo día,una y otra vez.Elegiría un día cualquiera,no debe ser especial.  Estaría en paz porque se que no habría un mañana,tendría asegurado que repetirá el mismo día en donde podría hacer las cosas diferentes.","Jan 6, 2024 · 2:41 AM UTC",secure,peaceful,POSITIVO,NEUTRO
@gilmaramg_,"¿Qué tan probable es que el despunte de inseguridad de este inicio de año no sea espontáneo sino responsivo, ante los movimientos de las autoridades (caso metástasis)? Lazos entre gdo y política son cada vez más evidentes y a alguien arriba de la estructura puede no gustarle eso","Jan 5, 2024 · 11:10 PM UTC",playful,joyful,NEGATIVO,POSITIVO
@csasmar_,porq me quedo muuudaaaa prendida en tu miradaaa porq todo es lejano PORQ SIN TI YA NO HAY MÁS NADAAA,"Jan 6, 2024 · 2:21 AM UTC",distant,mad,NEGATIVO,NEGATIVO
@carperez87,"Marcos 9:1-13  ¿Cómo ves a Cristo, como alguien derrotado o victorioso? El Dios del cielo vino como siervo. ¿Estás sirviendo a Dios en tu iglesia local o qué te detiene para hacerlo? ¿Estás leyendo la Palabra de Dios con la intención de vivirla o solo por cumplir una regla?","Jan 6, 2024 · 1:58 AM UTC",successful,powerful,NEUTRO,POSITIVO
@nacho899537,Alan no para de mirarla a rosi con joel celoso.  #GranHermano,"Jan 6, 2024 · 3:27 AM UTC",jealous,mad,NEUTRO,NEGATIVO
@ulls_de_gat,"Como ví en tiktok que hay que ocuparse en vez de preocuparse pero no encuentro un cardiólogo que me dé bola, hice lo más proactivo que un ser humano que se va a operar puede hacer: compré media docena de bombachas","Jan 5, 2024 · 1:51 PM UTC",optimistic,joyful,NEUTRO,POSITIVO
@YanielJuarez,No se que lo habrá motivado a Zanini a ir para atrás.. Pero tenes que estar mal de la cabeza para elegir seguir siendo un intrascendente por sobre la gloria y el respeto de esta enorme institución. No hay guita ni contrato que lo valga. Ya se dará cuenta.,"Jan 6, 2024 · 3:10 AM UTC",optimistic,joyful,NEGATIVO,POSITIVO
@Lariitwo,"De las cosas que me han llenado y calmado, es haber hablado con David. No recuerdo cuánto tiempo tenía de no hablar con alguien así ❤️","Jan 6, 2024 · 2:31 AM UTC",relaxed,peaceful,POSITIVO,NEUTRO
@AlmeryzDv,"""De manera apacible, se puede sacudir el mundo"" MG","Jan 4, 2024 · 6:53 PM UTC",sleepy,sad,POSITIVO,NEUTRO
@ximzzg,Q divertido el fútbol de mi pueblo puros cuentasos nomás,"Jan 6, 2024 · 3:18 AM UTC",playful,joyful,POSITIVO,POSITIVO
@v4mpkt,no logro sentirme bien con mi cuerpo,"Jan 6, 2024 · 3:26 AM UTC",successful,powerful,NEGATIVO,NEGATIVO
@dnikolavi,podría perdonar fácilmente su orgullo si no hubiese mortificado el mío,"Jan 4, 2024 · 2:44 PM UTC",embarrassed,scared,NEUTRO,NEGATIVO
@HebWQS,"Pensar en el bienestar de los demás y olvidar el mío es siempre mi error, porque ni siquiera yo veo lo afectado que estoy hasta que colapso","Jan 6, 2024 · 12:11 AM UTC",jealous,mad,NEGATIVO,NEGATIVO
@qaadaver,Agradecido de haberme alejado de semejante asquerosidad.,"Jan 6, 2024 · 2:34 AM UTC",distant,mad,POSITIVO,NEGATIVO
@dosisdeentreno,👑 Decir que NO a ese trozo de roscón no te va a hacer que pierdas grasa de golpe. Es preferible que lo disfrutes si te apetece y pases un buen rato en compañía de tus seres queridos. Recuerda que para ser constante necesitas un plan flexible,"Jan 5, 2024 · 6:59 PM UTC",responsive,peaceful,POSITIVO,NEGATIVO
@Caaarlittoss,que culia no me gusta decir cosas enojado,"Jan 6, 2024 · 3:40 AM UTC",irritated,mad,NEGATIVO,NEGATIVO
@ezequielgigante,"Christian Castillo indignado y furioso con el ""Cárcel o bala"". Cuando su ideología mató a millones de seres humanos en muchos lugares del planeta. Somos el mejor país del mundo.","Jan 6, 2024 · 1:01 AM UTC",irritated,mad,NEGATIVO,NEGATIVO
@monicapadron523,"Ediles y proteccionistas de @Ciudad_Ojeda sobre la protección de los caninos y gatitos etc (ordenanzas) pegamos la carrera de la plaza varios, hacíamos deporte, un pitbulls sin bosal ni cadena, y en la vía otro de alta peligrosidad sin bosal ni cadena 0-0?","Jan 6, 2024 · 2:27 AM UTC",secure,peaceful,NEUTRO,NEUTRO
@ShuraHiwa,"Ando súper irritable por el dolor de cabeza, llevo todo el día sintiendo como si fuera a explotar 🥲🥲🥲🥲","Jan 5, 2024 · 10:27 PM UTC",irritated,mad,NEGATIVO,NEGATIVO
@AlexPlacido98,Bueno y hoy que sale we,"Jan 6, 2024 · 1:42 AM UTC",relaxed,peaceful,NEUTRO,NEGATIVO
@jpierrem,"""Ni mi gisti diigi tirris, ni isti il nivil dil cintiniri, hirminis yiipin ni pisi nidi , riil rimiri is pivi, istin hiciindi in pipilin, firriri rininci"" se olvidaron que somos un club de fútbol? creen que la U es su tono, su juerguista de los fines de semana chibolos cojudos!","Jan 6, 2024 · 2:34 AM UTC",playful,joyful,NEGATIVO,POSITIVO
@madalvat,"Que este año esté lleno de Dicha, Amor, Unión, Felicidad y Prosperidad para todos.","Jan 6, 2024 · 2:03 AM UTC",successful,powerful,POSITIVO,POSITIVO
@camilao2203,mi sueño frustrado es que me hagan una fiesta sorpresa pero bien bien,"Jan 6, 2024 · 3:47 AM UTC",jealous,mad,POSITIVO,NEGATIVO
@Joe84cisneros,Estaba escuchando el testimonio brutal de un incrédulo que hablaba de alguien (capo de un cartel) que le hizo mucho daño pero que al tiempo este capo se convirtió a Cristo y decía que por eso no habría que creer en los cristianos. S,"Jan 5, 2024 · 7:02 PM UTC",surprised,powerful,NEGATIVO,POSITIVO
@deltapiscium,me he quedado totalmente aislado y no como suelo hacer con mis métodos erróneos de autodefensa,"Jan 5, 2024 · 7:22 PM UTC",distant,mad,NEGATIVO,NEGATIVO
@marijoo_mg,mejor duermo hasta el domingo y todo resuelto,"Jan 6, 2024 · 2:55 AM UTC",secure,peaceful,NEUTRO,POSITIVO
@Gauchito_SL,"Ustedes no lo vieron pero el otro día en Santiago del Estero jugué el partido más insuista de mi vida  1-0 arriba, una vez convertido el gol firmeza y solidez defensiva, aprovechando los espacios para generar contraataques 🚬","Jan 6, 2024 · 1:59 AM UTC",confident,powerful,POSITIVO,POSITIVO
@AilinGaticaa,la verdad que no se bien si me da seguridad o miedo ver tantos policías en la calle😶,"Jan 6, 2024 · 3:33 AM UTC",confident,powerful,NEGATIVO,POSITIVO
@FlorVega2601,"A veces uno se siente desconcertado,porque no entendemos nada de lo que hacemos.  El día pasa tan rápido. Y la vida también","Jan 5, 2024 · 3:17 AM UTC",embarrassed,scared,NEGATIVO,NEUTRO
@Spidey_dani15,"A ver, si tan valiente te reto a etiquetar a la chica más hermosa en este mundo que conozcas","Jan 6, 2024 · 3:13 AM UTC",daring,joyful,POSITIVO,POSITIVO
@ilSognoSempre,"Estaba con el cel quedándome dormida y de pronto le di ENVIAR MENSAJE a un vendedor de Marketplace DE MOTOS PARA NIÑOS, me acaba de responder y no sé cómo explicarle que no fue mi intención. ¿Me creerá loca si le digo la verdad?","Dec 10, 2023 · 10:38 PM UTC",responsive,peaceful,NEGATIVO,NEUTRO
@i4taeluv,"me VIBRA un punto muy específico de la pierna izquierda, como arriba de la rodilla,,, que miedo lleva como 5 minutos sin exagerar","Jan 6, 2024 · 3:22 AM UTC",daring,joyful,NEGATIVO,POSITIVO
@charliezard691,De que es el desfile en la via España ? Xuxa justo parquie el carro ahí y ahora estoy atrapado,"Jan 6, 2024 · 1:51 AM UTC",overwhelmed,scared,NEGATIVO,NEGATIVO
@karymedran,Todo mi amor y agradecimiento para quienes se toman el tiempo de ver mis historias en mis 2 cuentas en ig 🤭 (sobretodo si reaccionan porque solo así siento que realmente la vieron jaja),"Jan 6, 2024 · 3:25 AM UTC",thankful,peaceful,POSITIVO,NEUTRO
@_alexpanting,"El efímero horizonte,  esa cotidiana utopía, piensa un desalentado conductor al acelerar por la carretera.","Dec 27, 2023 · 5:08 PM UTC",frustrated,mad,NEUTRO,NEGATIVO
@caromejiao,"Es que el Concejo no tendría por qué proveer carros a nadie, pero sí podría ayudarle a sus corporados con un convenio que le facilite, al que quiera, un carro nuevo. El corporado que esté amenazado y necesite carro blindado, que se entienda con la UNP, no con el Concejo.","Jan 5, 2024 · 2:09 PM UTC",secure,peaceful,NEUTRO,NEUTRO
@dianardeibarra,"SIMPLIFICAR LA #VidaaMuyarachi  En la edad adulta, si hay algo que superar del pasado,  debe hacerse con agradecimiento y estar dispuesto a simplificar la vida enfocados en mantener una salud física y mental y trabajando para mantenerse sin depender de nada ni nadie 💗","Jan 6, 2024 · 3:13 AM UTC",thankful,peaceful,POSITIVO,NEUTRO
@carolbonillafm,"¡Buenas noches! Si sus majestades los Reyes Magos de Oriente han pasado ya por vuestras casas, y os habéis animado a abrir los regalos, por favor, responded o DM 🎄🥳🎁","Jan 6, 2024 · 1:41 AM UTC",optimistic,joyful,POSITIVO,POSITIVO
@JasminJara3,"Mi jefito es lo mejor de mi vida laboral, les deseo que tengan un jefe tan bueno,inteligente, capaz de enseñar y proactivo como el mío","Jan 5, 2024 · 4:26 PM UTC",optimistic,joyful,POSITIVO,POSITIVO
